Country_Region;Year;Month;Day;Doses_admin;People_partially_vaccinated;People_fully_vaccinated;Report_Date_String;UID;Province_State;
Afghanistan;2021;2;22;0;0;0;22/02/2021;4;;
Afghanistan;2021;2;23;0;0;0;23/02/2021;4;;
Afghanistan;2021;2;24;0;0;0;24/02/2021;4;;
Afghanistan;2021;2;25;0;0;0;25/02/2021;4;;
Afghanistan;2021;2;26;0;0;0;26/02/2021;4;;
Afghanistan;2021;2;27;0;0;0;27/02/2021;4;;
Afghanistan;2021;2;28;8200;8200;0;28/02/2021;4;;
Afghanistan;2021;3;1;8200;8200;0;1/03/2021;4;;
Afghanistan;2021;3;2;8200;8200;0;2/03/2021;4;;
Afghanistan;2021;3;3;8200;8200;0;3/03/2021;4;;
Afghanistan;2021;3;4;8200;8200;0;4/03/2021;4;;
Afghanistan;2021;3;5;8200;8200;0;5/03/2021;4;;
Afghanistan;2021;3;6;8200;8200;0;6/03/2021;4;;
Afghanistan;2021;3;7;8200;8200;0;7/03/2021;4;;
Afghanistan;2021;3;8;8200;8200;0;8/03/2021;4;;
Afghanistan;2021;3;9;8200;8200;0;9/03/2021;4;;
Afghanistan;2021;3;10;8200;8200;0;10/03/2021;4;;
Afghanistan;2021;3;11;8200;8200;0;11/03/2021;4;;
Afghanistan;2021;3;12;8200;8200;0;12/03/2021;4;;
Afghanistan;2021;3;13;8200;8200;0;13/03/2021;4;;
Afghanistan;2021;3;14;8200;8200;0;14/03/2021;4;;
Afghanistan;2021;3;15;8200;8200;0;15/03/2021;4;;
Afghanistan;2021;3;16;54000;54000;0;16/03/2021;4;;
Afghanistan;2021;3;17;54000;54000;0;17/03/2021;4;;
Afghanistan;2021;3;18;54000;54000;0;18/03/2021;4;;
Afghanistan;2021;3;19;54000;54000;0;19/03/2021;4;;
Afghanistan;2021;3;20;54000;54000;0;20/03/2021;4;;
Afghanistan;2021;3;21;54000;54000;0;21/03/2021;4;;
Afghanistan;2021;3;22;54000;54000;0;22/03/2021;4;;
Afghanistan;2021;3;23;54000;54000;0;23/03/2021;4;;
Afghanistan;2021;3;24;54000;54000;0;24/03/2021;4;;
Afghanistan;2021;3;25;54000;54000;0;25/03/2021;4;;
Afghanistan;2021;3;26;54000;54000;0;26/03/2021;4;;
Afghanistan;2021;3;27;54000;54000;0;27/03/2021;4;;
Afghanistan;2021;3;28;54000;54000;0;28/03/2021;4;;
Afghanistan;2021;3;29;54000;54000;0;29/03/2021;4;;
Afghanistan;2021;3;30;54000;54000;0;30/03/2021;4;;
Afghanistan;2021;3;31;54000;54000;0;31/03/2021;4;;
Afghanistan;2021;4;1;54000;54000;0;1/04/2021;4;;
Afghanistan;2021;4;2;54000;54000;0;2/04/2021;4;;
Afghanistan;2021;4;3;54000;54000;0;3/04/2021;4;;
Afghanistan;2021;4;4;54000;54000;0;4/04/2021;4;;
Afghanistan;2021;4;5;54000;54000;0;5/04/2021;4;;
Afghanistan;2021;4;6;54000;54000;0;6/04/2021;4;;
Afghanistan;2021;4;7;120000;120000;0;7/04/2021;4;;
Afghanistan;2021;4;8;120000;120000;0;8/04/2021;4;;
Afghanistan;2021;4;9;120000;120000;0;9/04/2021;4;;
Afghanistan;2021;4;10;120000;120000;0;10/04/2021;4;;
Afghanistan;2021;4;11;120000;120000;0;11/04/2021;4;;
Afghanistan;2021;4;12;120000;120000;0;12/04/2021;4;;
Afghanistan;2021;4;13;120000;120000;0;13/04/2021;4;;
Afghanistan;2021;4;14;120000;120000;0;14/04/2021;4;;
Afghanistan;2021;4;15;120000;120000;0;15/04/2021;4;;
Afghanistan;2021;4;16;120000;120000;0;16/04/2021;4;;
